,id,platform,hashtag,n_clusters,mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,dominant_r,dominant_g,dominant_b,dominant_h,dominant_s,dominant_v,black,gray,white,orange,orange-yellow,yellow,yellow-green,green,green-blue,blue,blue-violet,violet,violet-red,red,red-orange
0,klimaschutz_536.jpg,instagram,klimaschutz,9,0.8817320871444382,0.7947802113104829,0.7207673812642938,0.2730351466758578,0.23551504097732845,0.8924237419577206,0.9607843137254902,0.922042653278151,0.7874663590926567,0.1294117647058823,0.1803921568627451,0.9607843137254902,0.0,0.05767822265625,0.70391845703125,0.0,0.0,0.04571533203125,0.0,0.0,0.0,0.0,0.0338134765625,0.0,0.0,0.0,0.15887451171875
0,klimaschutz_537.jpg,instagram,klimaschutz,1,0.7341114955786235,0.8196078431372549,0.4371241830065359,0.2039215686274509,0.4666666666666667,0.8196078431372549,0.7341114955786235,0.8196078431372549,0.4371241830065359,0.2039215686274509,0.4666666666666667,0.8196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,klimaschutz_538.jpg,instagram,klimaschutz,1,0.7341114955786235,0.8196078431372549,0.4371241830065359,0.2039215686274509,0.4666666666666667,0.8196078431372549,0.7341114955786235,0.8196078431372549,0.4371241830065359,0.2039215686274509,0.4666666666666667,0.8196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,klimaschutz_539.jpg,instagram,klimaschutz,12,0.4688608152357555,0.5550707609380339,0.5960989975575003,0.46061701028450586,0.3439716695501727,0.6440401528258358,0.3344252210688196,0.4356771377524481,0.5137254901960784,0.5725490196078431,0.3490196078431372,0.5137254901960784,0.0,0.10409007352941171,0.0,0.0055912990196078,0.0151654411764705,0.2182904411764705,0.0,0.0,0.0,0.0,0.5094209558823528,0.14744178921568618,0.0,0.0,0.0
0,klimaschutz_540.jpg,instagram,klimaschutz,9,0.4190474322658704,0.6425479422285457,0.6768342748103493,0.5107569804882736,0.4237156382160705,0.6997317738369856,0.4245444059976931,0.7562814302191465,0.8392156862745098,0.5333333333333333,0.4941176470588235,0.8392156862745098,0.14713541666666646,0.0,0.0,0.0094975490196077,0.0,0.0,0.0,0.0,0.2791053921568627,0.0,0.5642616421568627,0.0,0.0,0.0,0.0
0,klimaschutz_541.jpg,instagram,klimaschutz,13,0.34070067615087596,0.4044844124020986,0.4578909262376285,0.5225669711243872,0.46907312729779405,0.49744202856924014,0.5290888119953864,0.6613355044439921,0.7372549019607844,0.5607843137254902,0.2823529411764706,0.7372549019607844,0.0,0.0,0.0,0.0504150390625,0.06890869140625,0.0,0.05914306640625,0.03228759765625,0.0,0.0,0.29779052734375,0.3515625,0.04193115234375,0.0,0.09796142578125
0,klimaschutz_542.jpg,instagram,klimaschutz,8,0.8933107947499452,0.8432555611568303,0.7910089413155461,0.10049770520953459,0.1448102893118029,0.8943966863706265,0.992156862745098,0.9649211841599384,0.9260130718954248,0.0980392156862745,0.0666666666666666,0.992156862745098,0.0024509803921568,0.0066636029411764,0.766390931372549,0.0013786764705882,0.1870404411764706,0.0325520833333333,0.0,0.0,0.0035232843137254,0.0,0.0,0.0,0.0,0.0,0.0
0,klimaschutz_543.jpg,instagram,klimaschutz,15,0.4214120276138133,0.3378582800976642,0.3488025598297077,0.4553392925797767,0.3078881920415221,0.4467470444059973,0.207673971549404,0.2229585905873307,0.2509803921568627,0.6078431372549019,0.1725490196078431,0.2509803921568627,0.0,0.5587469362745096,0.1200980392156862,0.1433823529411763,0.0776654411764705,0.0153952205882352,0.0,0.0,0.0,0.0,0.0,0.0847120098039215,0.0,0.0,0.0
0,klimaschutz_544.jpg,instagram,klimaschutz,15,0.3549888240571121,0.3765197142424147,0.3892970731579147,0.35356593617839255,0.29569967079969206,0.4476457372164548,0.6510726643598617,0.7063925639459937,0.7686274509803922,0.5882352941176471,0.1529411764705882,0.7686274509803922,0.322457107843137,0.0687806372549019,0.0,0.0,0.1039368872549019,0.1665134803921568,0.0,0.0,0.0,0.0,0.1861213235294117,0.1521905637254899,0.0,0.0,0.0
0,klimaschutz_545.jpg,instagram,klimaschutz,17,0.48243509951851443,0.4146473166407116,0.4475785136969202,0.5419835707720588,0.34765457452512255,0.5492505840226717,0.0751095732410611,0.1063985345003053,0.1450980392156863,0.592156862745098,0.4823529411764706,0.1450980392156863,0.12261962890625,0.17388916015625,0.0,0.10321044921875,0.16278076171875,0.042724609375,0.0,0.0,0.0,0.0,0.09564208984375,0.21539306640625,0.0,0.0,0.083740234375
0,klimaschutz_546.jpg,instagram,klimaschutz,11,0.5900981277299442,0.49596853845092276,0.4892605717312958,0.3535209047211114,0.2539337640395962,0.6106965662478581,0.4549019607843137,0.4476613067372277,0.4138715878508266,0.1372549019607843,0.0901960784313725,0.4549019607843137,0.0,0.475955703883495,0.0,0.1915200242718446,0.0656856796116504,0.0,0.0,0.0,0.0,0.0,0.0,0.2038076456310678,0.0,0.0,0.0630309466019416
